Date,Open,High,Low,Close,Adj Close,Volume
2021-02-01,0.730030,0.732170,0.726910,0.730050,0.730050,0
2021-02-02,0.731230,0.734560,0.729420,0.731060,0.731060,0
2021-02-03,0.731950,0.734160,0.730870,0.732100,0.732100,0
2021-02-04,0.732580,0.736840,0.730000,0.732650,0.732650,0
2021-02-05,0.731380,0.731660,0.727800,0.731200,0.731200,0
2021-02-08,0.727840,0.730860,0.727280,0.727870,0.727870,0
2021-02-09,0.727500,0.727600,0.724700,0.727500,0.727500,0
2021-02-10,0.723770,0.724400,0.721189,0.723694,0.723694,0
2021-02-11,0.722940,0.724070,0.721700,0.722930,0.722930,0
2021-02-12,0.724060,0.725850,0.721670,0.724100,0.724100,0
2021-02-15,0.720900,0.721142,0.718406,0.720900,0.720900,0
2021-02-16,0.718720,0.720950,0.716770,0.718660,0.718660,0
2021-02-17,0.720130,0.722990,0.719290,0.720040,0.720040,0
2021-02-18,0.721190,0.722510,0.715080,0.721170,0.721170,0
2021-02-19,0.715920,0.716740,0.712500,0.715950,0.715950,0
2021-02-22,0.712880,0.715230,0.710430,0.712700,0.712700,0
2021-02-23,0.710720,0.711370,0.708480,0.710670,0.710670,0
2021-02-24,0.708170,0.709870,0.703380,0.708200,0.708200,0
2021-02-25,0.706940,0.709190,0.705110,0.706800,0.706800,0
2021-02-26,0.714010,0.719900,0.713260,0.713870,0.713870,0
2021-03-01,0.715500,0.719130,0.714300,0.715690,0.715690,0
2021-03-02,0.717940,0.721510,0.716220,0.717900,0.717900,0
2021-03-03,0.716600,0.718240,0.714120,0.716590,0.716590,0
2021-03-04,0.718200,0.718500,0.713720,0.718030,0.718030,0
2021-03-05,0.719680,0.725600,0.719150,0.719730,0.719730,0
2021-03-08,0.722120,0.724490,0.721501,0.721830,0.721830,0
2021-03-09,0.723360,0.724460,0.718330,0.723400,0.723400,0
2021-03-10,0.720093,0.722190,0.717660,0.719920,0.719920,0
2021-03-11,0.717808,0.718300,0.715280,0.717800,0.717800,0
