Date,Open,High,Low,Close,Adj Close,Volume
2021-02-01,0.824890,0.828560,0.823990,0.824820,0.824820,0
2021-02-02,0.828660,0.832060,0.827270,0.828590,0.828590,0
2021-02-03,0.830630,0.832990,0.829876,0.830630,0.830630,0
2021-02-04,0.830440,0.835620,0.830300,0.830400,0.830400,0
2021-02-05,0.835600,0.836570,0.830580,0.835650,0.835650,0
2021-02-08,0.829920,0.831850,0.828600,0.829960,0.829960,0
2021-02-09,0.829700,0.829862,0.825440,0.829628,0.829628,0
2021-02-10,0.825290,0.825750,0.823470,0.825083,0.825083,0
2021-02-11,0.825120,0.825470,0.822978,0.825000,0.825000,0
2021-02-12,0.824400,0.827541,0.824000,0.824300,0.824300,0
2021-02-15,0.825010,0.825260,0.823249,0.824940,0.824940,0
2021-02-16,0.824240,0.826730,0.821625,0.824253,0.824253,0
2021-02-17,0.827230,0.831560,0.826560,0.826960,0.826960,0
2021-02-18,0.830160,0.830820,0.827198,0.830013,0.830013,0
2021-02-19,0.827010,0.827609,0.823200,0.827000,0.827000,0
2021-02-22,0.824780,0.826980,0.822700,0.824650,0.824650,0
2021-02-23,0.821900,0.823940,0.821100,0.821909,0.821909,0
2021-02-24,0.822910,0.825675,0.821420,0.822900,0.822900,0
2021-02-25,0.821726,0.822600,0.816890,0.821600,0.821600,0
2021-02-26,0.822360,0.827010,0.820850,0.822340,0.822340,0
2021-03-01,0.827068,0.831260,0.826340,0.827160,0.827160,0
2021-03-02,0.829940,0.833750,0.827790,0.829800,0.829800,0
2021-03-03,0.827470,0.830240,0.825730,0.827440,0.827440,0
2021-03-04,0.829990,0.831600,0.828912,0.829830,0.829830,0
2021-03-05,0.835520,0.840480,0.835520,0.835580,0.835580,0
2021-03-08,0.838600,0.844000,0.838070,0.838530,0.838530,0
2021-03-09,0.843740,0.844870,0.839208,0.843760,0.843760,0
2021-03-10,0.840570,0.842460,0.838570,0.840484,0.840484,0
2021-03-11,0.838400,0.839130,0.834880,0.838500,0.838500,0
2021-03-12,0.834610,0.839590,0.834000,0.834300,0.834300,0
2021-03-15,0.836740,0.839500,0.835740,0.836820,0.836820,0
2021-03-16,0.838410,0.841440,0.836610,0.838520,0.838520,0
2021-03-17,0.840188,0.841210,0.839067,0.840220,0.840220,0
2021-03-18,0.834680,0.839620,0.833959,0.834530,0.834530,0
2021-03-19,0.839090,0.842110,0.837700,0.839050,0.839050,0
2021-03-22,0.841430,0.842030,0.837700,0.841530,0.841530,0
2021-03-23,0.837990,0.842860,0.837300,0.838010,0.838010,0
